Manufacturer,Model Name,Model Code,RAM (TotalMem),Form Factor,System on Chip,GPU,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions
Zuk,Z1,Z1,3011MB,Phone,Qualcomm MSM8974AC,Qualcomm Adreno 330 (574 MHz),1080x1920,480,armeabi;armeabi-v7a,22,3.0
Zuk,Z1,Z1,3011MB,Phone,Qualcomm MSM8974AC,Qualcomm Adreno 330 (574 MHz),1080x1920,480,armeabi;armeabi-v7a,22,3.0
Zuk,Z1,k9,2987MB,Phone,Qualcomm MSM8974AC,Qualcomm Adreno 330 (574 MHz),1080x1920,480,armeabi;armeabi-v7a,22,3.0
Zuk,Z2,z2_plus,3923MB,Phone,Qualcomm MSM8996,Qualcomm Adreno 530 (653 MHz),1080x1920,480,arm64-v8a;armeabi;armeabi-v7a,23,3.1
Zuk,Lenovo Z2 Plus,z2_plus_hw,3922MB,Phone,Qualcomm MSM8996,Qualcomm Adreno 530 (653 MHz),1080x1920,480,arm64-v8a;armeabi;armeabi-v7a,24,3.2
Zuk,Z2 Pro,z2_row,3964MB,Phone,Qualcomm MSM8996,Qualcomm Adreno 530 (653 MHz),1440x2560,560,arm64-v8a;armeabi;armeabi-v7a,23,3.1
Zuum,ZUUM AKUS,AKUS,1004MB,Phone,Mediatek MT6580,ARM Mali 400 (500 MHz),720x1280,320,armeabi;armeabi-v7a,24,2.0
Zuum,AKUS P1,AKUS_P1,2015MB,Phone,Spreadtrum SC7731E,ARM Mali T820 (600 MHz),720x1600,320,armeabi;armeabi-v7a,30,3.2
Zuum,AKUS PRO,AKUS_PRO,963MB,Phone,Spreadtrum SC7731E,ARM Mali T820 (600 MHz),480x960,240,armeabi;armeabi-v7a,29,3.2
Zuum,AKUS Z1,AKUS_Z1,963MB,Phone,Spreadtrum SC7731E,ARM Mali T820 (600 MHz),480x960,240,armeabi;armeabi-v7a,29,3.2
Zuum,AURA PLUS JLO,AURA_PLUS_JLO,3930MB,Phone,Mediatek MT6769T,ARM Mali G52 (950 MHz),1080x2400,480,arm64-v8a;armeabi;armeabi-v7a,30,3.2
Zuum,AURA PRO,AURA_PRO,1981MB,Phone,Spreadtrum SC9863A,Imagination Tech PowerVR GE8322 (550 MHz),720x1600,320,armeabi;armeabi-v7a,30,3.2
Zuum,AURA PRO JLO,AURA_PRO_JLO,1981MB,Phone,Spreadtrum SC9863A,Imagination Tech PowerVR GE8322 (550 MHz),720x1600,320,armeabi;armeabi-v7a,30,3.2
Zuum,AURA X,AURA_X,3990MB,Phone,Mediatek MT6763,2 核 ARM Mali G71 (700 MHz),1080x2340,480,arm64-v8a;armeabi;armeabi-v7a,28,3.2
Zuum,AKUS Z,Akus_Z,989MB,Phone,Mediatek MT6580M,未知,480x960,240,armeabi;armeabi-v7a,27,2.0
Zuum,COVET,COVET,1004MB,Phone,Mediatek MT6580,ARM Mali 400 (500 MHz),720x1280,320,armeabi;armeabi-v7a,24,2.0
Zuum,COVET PRO,COVET_PRO,967MB,Phone,Spreadtrum SC7731E,ARM Mali T820 (600 MHz),720x1440,320,armeabi;armeabi-v7a,28,3.2
Zuum,COVET PRO LITE,COVET_PRO_LITE,2045MB,Phone,Mediatek MT6580,ARM Mali 400 (500 MHz),720x1440,320,armeabi;armeabi-v7a,29,2.0
Zuum,COVET Z,COVET_Z,992MB,Phone,Mediatek MT6580M,未知,480x960,240,armeabi;armeabi-v7a,27,2.0
Zuum,COVET mini,Covet_Mini,992MB,Phone,Mediatek MT6580M,未知,480x960,240,armeabi;armeabi-v7a,27,2.0
Zuum,ZUUM GRANT,GRANT,1004MB,Phone,Mediatek MT6580,ARM Mali 400 (500 MHz),720x1280,320,armeabi;armeabi-v7a,24,2.0
Zuum,GRAVITY M,GRAVITY_M,1930MB,Phone,Spreadtrum SC9863A,Imagination Tech PowerVR GE8322 (550 MHz),1080x2160,480,armeabi;armeabi-v7a,29,3.2
Zuum,GRAVITY Z,GRAVITY_Z,1908MB,Phone,Spreadtrum SC9863A,Imagination Tech PowerVR GE8322 (550 MHz),720x1440,320,arm64-v8a;armeabi;armeabi-v7a,28,3.2
Zuum,ZUUM Gravity,Gravity,2069MB,Phone,Mediatek MT6580,ARM Mali 400 (500 MHz),720x1280,320,armeabi;armeabi-v7a,24,2.0
Zuum,Gravity Life,Gravity_Life,2030MB,Phone,Mediatek MT6580,ARM Mali 400 (500 MHz),720x1440,320,armeabi;armeabi-v7a,27,2.0
Zuum,Hidra Plus,Hidra_Plus,2874MB,Phone,Mediatek MT6750,ARM Mali T860 (520 MHz),1080x1920,480,arm64-v8a;armeabi;armeabi-v7a,26,3.2
Zuum,LIMIT,LIMIT,3019MB,Phone,Mediatek MT6753,ARM Mali T720 (700 MHz),1080x1920,480,armeabi;armeabi-v7a,24,3.1
Zuum,MAGNO C,MAGNO_C,1004MB,Phone,Mediatek MT6580M,未知,480x854,240,armeabi;armeabi-v7a,27,2.0
Zuum,MAGNO C1,MAGNO_C1,963MB,Phone,Spreadtrum SC7731E,ARM Mali T820 (600 MHz),480x854,240,armeabi;armeabi-v7a,29,3.2
Zuum,MAGNO MINI ,MAGNO_MINI,960MB,Phone,Spreadtrum SC7731E,ARM Mali T820 (600 MHz),360x640,240,armeabi;armeabi-v7a,30,3.2
Zuum,ZUUM MAGNO PLUS,MAGNO_PLUS,1011MB,Phone,Mediatek MT6580M,未知,480x854,240,armeabi;armeabi-v7a,24,2.0
Zuum,ONIX,ONIX,945MB,Phone,Mediatek MT6580,ARM Mali 400 (500 MHz),480x854,240,armeabi;armeabi-v7a,24,2.0
Zuum,ONIX S,ONIX_S,1003MB,Phone,Mediatek MT6580M,未知,480x960,240,armeabi;armeabi-v7a,27,2.0
Zuum,ROCKET II,ROCKET_II,472MB,Phone,Mediatek MT6580M,未知,480x800,240,armeabi;armeabi-v7a,27,2.0
Zuum,ROCKET III,ROCKET_III,958MB,Phone,Spreadtrum SC7731E,ARM Mali T820 (600 MHz),480x800,240,armeabi;armeabi-v7a,29,3.2
Zuum,STELLAR,STELLAR,937MB,Phone,Mediatek MT6580,ARM Mali 400 (500 MHz),640x1280,260,armeabi;armeabi-v7a,27,2.0
Zuum,STELLAR M1,STELLAR_M1,967MB,Phone,Spreadtrum SC7731E,ARM Mali T820 (600 MHz),720x1440,320,armeabi;armeabi-v7a,28,3.2
Zuum,STELLAR M2,STELLAR_M2,1908MB,Phone,Spreadtrum SC9863A,Imagination Tech PowerVR GE8322 (550 MHz),1080x2160,480,arm64-v8a;armeabi;armeabi-v7a,28,3.2
Zuum,STELLAR MINI,STELLAR_MINI,998MB,Phone,Mediatek MT6580,ARM Mali 400 (500 MHz),720x1280,320,armeabi;armeabi-v7a,27,2.0
Zuum,STELLAR P1,STELLAR_P1,1908MB,Phone,Spreadtrum SC9863A,Imagination Tech PowerVR GE8322 (550 MHz),720x1520,320,arm64-v8a;armeabi;armeabi-v7a,28,3.2
Zuum,STELLAR P3,STELLAR_P3,4019MB,Phone,Spreadtrum SC9863A,Imagination Tech PowerVR GE8322 (550 MHz),720x1520,320,arm64-v8a;armeabi;armeabi-v7a,28,3.2
Zuum,STELLAR P4,STELLAR_P4,2996MB,Phone,Spreadtrum SC9863A,Imagination Tech PowerVR GE8322 (550 MHz),720x1600,320,arm64-v8a;armeabi;armeabi-v7a,30,3.2
Zuum,STELLAR PLUS,STELLAR_PLUS,3055MB,Phone,Mediatek MT6739WA,Imagination Tech PowerVR GE8100 (450 MHz),720x1500,320,armeabi;armeabi-v7a,27,3.2
Zuum,STELLAR PRO,STELLAR_PRO,940MB,Phone,Mediatek MT6739WA,Imagination Tech PowerVR GE8100 (450 MHz),720x1440,320,armeabi;armeabi-v7a,27,3.2
Zuum,STELLAR Z,STELLAR_Z,964MB,Phone,Mediatek MT6580,ARM Mali 400 (500 MHz),720x1440,320,armeabi;armeabi-v7a,27,2.0
Zuum,Stellar Max,Stellar_Max,3989MB,Phone,Mediatek MT6762,Imagination Tech PowerVR GE8320 (650 MHz),720x1600,320,arm64-v8a;armeabi;armeabi-v7a,29,3.2
Zuum,ULTRA Z,Ultra_Z,937MB,Phone,Mediatek MT6580,ARM Mali 400 (500 MHz),720x1280,320,armeabi;armeabi-v7a,24,2.0
Zuum,VOLTA_KIDS,VOLTA_KIDS,964MB,Tablet,Spreadtrum SC7731E,ARM Mali T820 (600 MHz),600x1024,160,armeabi;armeabi-v7a,29,3.2
Zuum,MAGNO,ZUUM_MAGNO,1011MB,Phone,Mediatek MT6580M,未知,480x854,240,armeabi;armeabi-v7a,24,2.0
Zuum,MAGNO,ZUUM_MAGNO-S,1011MB,Phone,Mediatek MT6580M,未知,480x854,240,armeabi;armeabi-v7a,24,2.0
afriphone,smart_S5,smart_S5,983MB,Phone,Mediatek MT6580,ARM Mali 400 (500 MHz),720x1280,320,armeabi;armeabi-v7a,27,2.0
alter,MIG,MIG,1974MB,Phone,Mediatek MT6737,ARM Mali T720 (550 MHz),720x1280,320,armeabi;armeabi-v7a,24,3.1
amulet7,P10SU_Plus,P10SU_Plus,2025MB,Tablet,Spreadtrum SC7731E,ARM Mali T820 (600 MHz),800x1280,213,armeabi;armeabi-v7a,30,3.2
aoson,aoson,M815,2067MB,Tablet,Mediatek MT8163,ARM Mali T720 (520 MHz),800x1280,160,arm64-v8a;armeabi;armeabi-v7a,24,3.1
aoson,R103,R103,2072MB,Tablet,Mediatek MT8163,ARM Mali T720 (520 MHz),800x1280,160,arm64-v8a;armeabi;armeabi-v7a,24,3.1
beafon,Class_C250,Class_C250,2984MB,Phone,Mediatek MT6763,2 核 ARM Mali G71 (700 MHz),720x1440,320,arm64-v8a;armeabi;armeabi-v7a,28,3.2
beafon,M5,M5,1999MB,Phone,Mediatek MT6739WA,Imagination Tech PowerVR GE8100 (450 MHz),720x1280,320,armeabi;armeabi-v7a,27,3.2
beafon,M6,M6,2991MB,Phone,Mediatek MT6761,Imagination Tech PowerVR GE8300 (660 MHz),720x1520,320,armeabi;armeabi-v7a,28,3.2
beafon,M6s,M6s,2952MB,Phone,Mediatek MT6762,Imagination Tech PowerVR GE8320 (650 MHz),720x1520,320,arm64-v8a;armeabi;armeabi-v7a,29,3.2
beafon,MX1,MX1,4017MB,Phone,Mediatek MT6761,Imagination Tech PowerVR GE8300 (660 MHz),720x1520,320,arm64-v8a;armeabi;armeabi-v7a,29,3.2
benco,benco v80,AE9010,3985MB,Phone,Spreadtrum SC9863A,Imagination Tech PowerVR GE8322 (550 MHz),720x1600,320,arm64-v8a;armeabi;armeabi-v7a,30,3.2
benco,AE9950,AE9950,2929MB,Phone,Spreadtrum SC9863A,Imagination Tech PowerVR GE8322 (550 MHz),720x1560,320,armeabi;armeabi-v7a,30,3.2
benco,AF9010_F,AF9010_F,920MB,Phone,Spreadtrum SC9832E,ARM Mali T820 (680 MHz),720x1520,320,armeabi;armeabi-v7a,28,3.2
benco,AF9020,AF9020,1986MB,Phone,Spreadtrum SC9832E,ARM Mali T820 (680 MHz),720x1520,320,armeabi;armeabi-v7a,28,3.2
benco,AF9030,AF9030,967MB,Phone,Spreadtrum SC7731E,ARM Mali T820 (600 MHz),720x1520,320,armeabi;armeabi-v7a,28,3.2
benco,benco Y11,AH9110,961MB,Phone,Spreadtrum SC7731E,ARM Mali T820 (600 MHz),480x854,240,armeabi;armeabi-v7a,30,3.2
benco,AH9910,AH9910,920MB,Phone,Spreadtrum SC9832E,ARM Mali T820 (680 MHz),480x854,240,armeabi;armeabi-v7a,28,3.2
benco,M1000,M1000,2061MB,Tablet,Allwinner A100,Imagination Tech PowerVR GE8300 (500 MHz),800x1280,160,armeabi;armeabi-v7a,30,3.2
benco,M700,M700,2063MB,Tablet,Allwinner A100,Imagination Tech PowerVR GE8300 (500 MHz),600x1024,160,armeabi;armeabi-v7a,30,3.2
bq,Aquaris A4.5,Aquaris_A45_sprout,951MB,Phone,Mediatek MT6735M,ARM Mali T720 (450 MHz),540x960,240,armeabi;armeabi-v7a,24,3.1
bq,Aquaris E10,Aquaris_E10,2059MB,Tablet,Mediatek MT8151,未知,1200x1920,240,armeabi;armeabi-v7a,19,2.0
bq,Aquaris E10 3G,Aquaris_E10_3G,2033MB,Tablet,Mediatek MT8392,ARM Mali 450 (700 MHz),1200x1920,240,armeabi;armeabi-v7a,19,2.0
bq,Aquaris E4,Aquaris_E4,1013MB,Phone,Mediatek MT6582M,ARM Mali 400 (422 MHz),480x800,240,armeabi;armeabi-v7a,19,2.0
bq,Aquaris E4.5,Aquaris_E45,1009MB,Phone,Mediatek MT6582M,ARM Mali 400 (422 MHz),540x960,240,armeabi;armeabi-v7a,19,2.0
bq,Aquaris E5,Aquaris_E5,2004MB,Phone,Qualcomm MSM8916,Qualcomm Adreno 306 (400 MHz),720x1280,320,armeabi;armeabi-v7a,23,3.0
bq,Aquaris E5 FHD,Aquaris_E5_FHD,2039MB,Phone,Mediatek MT6592T,ARM Mali 450 (600 MHz),1080x1920,480,armeabi;armeabi-v7a,19,2.0
bq,Aquaris E5 HD,Aquaris_E5_HD,1000MB,Phone,Mediatek MT6582,ARM Mali 400 (400 MHz),720x1280,320,armeabi;armeabi-v7a,19,2.0
bq,Aquaris E6,Aquaris_E6,2039MB,Phone,Mediatek MT6592T,ARM Mali 450 (600 MHz),1080x1920,480,armeabi;armeabi-v7a,19,2.0
bq,Aquaris M10,Aquaris_M10,2073MB,Tablet,Mediatek MT8163,ARM Mali T720 (520 MHz),800x1280,160,arm64-v8a;armeabi;armeabi-v7a,23,3.0
bq,Aquaris M10 FHD,Aquaris_M10_FHD,2056MB,Tablet,Mediatek MT8163,ARM Mali T720 (520 MHz),1200x1920,240,arm64-v8a;armeabi;armeabi-v7a,23,3.0
bq,Aquaris M4.5,Aquaris_M45,979MB,Phone,Mediatek MT6735M,ARM Mali T720 (450 MHz),540x960,240,armeabi;armeabi-v7a,23,3.0
bq,Aquaris M5,Aquaris_M5,2003MB,Phone,Qualcomm MSM8939,Qualcomm Adreno 405 (550 MHz),1080x1920,480,armeabi;armeabi-v7a,25,3.2
bq,Aquaris M,Aquaris_M55,3069MB,Phone,Qualcomm MSM8939,Qualcomm Adreno 405 (550 MHz),1080x1920,480,armeabi;armeabi-v7a,25,3.2
bq,M8,Aquaris_M8,2073MB,Tablet,Mediatek MT8163,ARM Mali T720 (520 MHz),800x1280,160,arm64-v8a;armeabi;armeabi-v7a,23,3.0
bq,Aquaris X5,Aquaris_X5,2005MB,Phone,Qualcomm MSM8916,Qualcomm Adreno 306 (400 MHz),720x1280,320,armeabi;armeabi-v7a,25,3.0
bq,Aquaris X5 Plus,Aquaris_X5_Plus,3023MB,Phone,Qualcomm MSM8976,Qualcomm Adreno 510 (600 MHz),1080x1920,480,armeabi;armeabi-v7a,25,3.2
bq,BQ-5515L,BQru-5515L,1979MB,Phone,Mediatek MT6739CH,Imagination Tech PowerVR GE8100 (570 MHz),480x960,240,armeabi;armeabi-v7a,27,3.2
bq,BQ-5516L TWIN,BQru-5516L,1824MB,Phone,Mediatek MT6750,ARM Mali T860 (520 MHz),1080x1920,480,arm64-v8a;armeabi;armeabi-v7a,27,3.2
bq,BQ-6016L Mercury,BQru-6016L,1949MB,Phone,Mediatek MT6739WA,Imagination Tech PowerVR GE8100 (450 MHz),720x1440,320,armeabi;armeabi-v7a,27,3.2
bq,Edison 3,Edison_3,2083MB,Tablet,Mediatek MT8127,ARM Mali 450 (600 MHz),800x1280,160,armeabi;armeabi-v7a,19,2.0
bq,Edison 3 3G,Edison_3_3G,2063MB,Tablet,Mediatek MT8382,ARM Mali 400 (500 MHz),800x1280,160,armeabi;armeabi-v7a,19,2.0
bq,Edison_3_mini,Edison_3_mini,1975MB,Tablet,Intel Z3735F,未知,800x1280,160,armeabi;armeabi-v7a;x86,21,3.1
bq,Aquarus M10 4G,FREEZERLTE,2001MB,Tablet,Mediatek MT8783T,未知,1200x1920,240,arm64-v8a;armeabi;armeabi-v7a,23,3.0
bq,Aquaris X,bardock,2940MB,Phone,Qualcomm MSM8956,Qualcomm Adreno 510 (600 MHz),1080x1920,480,arm64-v8a;armeabi;armeabi-v7a,27,3.2
bq,Aquaris X Pro,bardock-pro,3728MB,Phone,Qualcomm MSM8953,Qualcomm Adreno 506 (650 MHz),1080x1920,480,arm64-v8a;armeabi;armeabi-v7a,27,3.2
bq,Aquaris U,chaozu,1975MB,Phone,Qualcomm MSM8937,Qualcomm Adreno 505 (450 MHz),720x1280,320,armeabi;armeabi-v7a,25,3.2
bq,Aquaris U lite,chaozulite,1975MB,Phone,Qualcomm MSM8917,Qualcomm Adreno 308 (400 MHz),720x1280,320,armeabi;armeabi-v7a,25,3.0
bq,Aquaris C,jeice,1956MB,Phone,Qualcomm MSM8917,Qualcomm Adreno 308 (400 MHz),720x1440,320,armeabi;armeabi-v7a,27,3.0
bq,Aquaris V,nappa,2998MB,Phone,Qualcomm SDM435,Qualcomm Adreno 505 (450 MHz),720x1280,320,armeabi;armeabi-v7a,27,3.2
bq,Aquaris Vs,nappa_s,3025MB,Phone,Qualcomm MSM8937,Qualcomm Adreno 505 (450 MHz),720x1280,320,armeabi;armeabi-v7a,27,3.2
bq,Aquaris V Plus,raditz,2968MB,Phone,Qualcomm MSM8940,Qualcomm Adreno 505 (450 MHz),1080x1920,480,arm64-v8a;armeabi;armeabi-v7a,27,3.2
bq,Aquaris Vs Plus,raditz_s,3784MB,Phone,Qualcomm MSM8937,Qualcomm Adreno 505 (450 MHz),1080x1920,480,arm64-v8a;armeabi;armeabi-v7a,27,3.2
bq,Aquaris U Plus,tenshi,1975MB,Phone,Qualcomm MSM8937,Qualcomm Adreno 505 (450 MHz),720x1280,320,armeabi;armeabi-v7a,25,3.2
bq,Aquaris U2,yamcha,1935MB,Phone,Qualcomm SDM435,Qualcomm Adreno 505 (450 MHz),720x1280,320,armeabi;armeabi-v7a,27,3.2
bq,Aquaris U2 Lite,yamchalite,1976MB,Phone,Qualcomm SDM425,Qualcomm Adreno 308 (400 MHz),720x1280,320,armeabi;armeabi-v7a,25,3.0
bq,Aquaris X2,zangya_sprout,2879MB,Phone,Qualcomm SDM636,Qualcomm Adreno 509 (370 MHz),1080x2160,420,arm64-v8a;armeabi;armeabi-v7a,29,3.2
bq,Aquaris X2 PRO,zangyapro_sprout,3924MB,Phone,Qualcomm SDM660,Qualcomm Adreno 512 (650 MHz),1080x2160,420,arm64-v8a;armeabi;armeabi-v7a,29,3.2
carrozzeria,SDA-700TAB,SDA_700TAB,2094MB,Tablet,Allwinner T501,2 核 ARM Mali 400 (600 MHz),800x1280,213,armeabi;armeabi-v7a,28,2.0
cosmos, Aries_8in,Aries_8in,4121MB,Tablet,Rockchip RK3566,ARM Mali G52 (800 MHz),600x1024,160,armeabi;armeabi-v7a,30,3.2
cosmos,Lynx_10in,Lynx_10in,2025MB,Tablet,Mediatek MT8168A,ARM Mali G52 (800 MHz),1200x1920,240,armeabi;armeabi-v7a,30,3.2
d.light,M100,M100,985MB,Phone,Mediatek MT6580,ARM Mali 400 (500 MHz),720x1280,320,armeabi;armeabi-v7a,27,2.0
d.light,M1000,M1000,1950MB,Phone,Mediatek MT6739WA,Imagination Tech PowerVR GE8100 (450 MHz),720x1440,320,arm64-v8a;armeabi;armeabi-v7a,28,3.2
d.light,M200A,M200,1004MB,Phone,Mediatek MT6580M,未知,480x854,240,armeabi;armeabi-v7a,29,2.0
dazen,dazen 6A,dazen_6A,3047MB,Phone,Mediatek MT6737,ARM Mali T720 (550 MHz),720x1440,320,arm64-v8a;armeabi;armeabi-v7a,24,3.1
dazen,DAZN,m393gena_dazn,2780MB,TV,Broadcom BCM72180,未知,1080x1920,320,armeabi;armeabi-v7a,29,3.1
duraMOBI,DK66,DK66,2010MB,Phone,Mediatek MT6737,ARM Mali T720 (550 MHz),720x1280,320,armeabi;armeabi-v7a,24,3.1
e4u(A),TAB900,TAB900,2996MB,Tablet,Spreadtrum SC9863A,Imagination Tech PowerVR GE8322 (550 MHz),800x1280,213,arm64-v8a;armeabi;armeabi-v7a,30,3.2
eBox,Ebox,diw387eb,1806MB,TV,Broadcom BCM7271,未知,1080x1920,320,armeabi;armeabi-v7a,28,3.1
eSTREAM 4K,TiVo Stream 4K,SEI400TV,2086MB,TV,Amlogic AMLS905Y2,2 核 ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,28,3.2
eSTREAM 4K,Pyxis-ABB,SEI500ABB,2086MB,TV,Amlogic AMLS905X2,2 核 ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
eSTREAM 4K,Pyxis-ARMSTRONG,SEI500AS,2086MB,TV,Amlogic AMLS905X2,2 核 ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,28,3.2
eSTREAM 4K,Pyxis-BlueRidge,SEI500BR,2086MB,TV,Amlogic AMLS905X2,2 核 ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,28,3.2
eSTREAM 4K,Pyxis-BlueStream,SEI500BS,2086MB,TV,Amlogic AMLS905X2,2 核 ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,28,3.2
eSTREAM 4K,Pyxis-CBT,SEI500CB,2086MB,TV,Amlogic AMLS905X2,2 核 ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,28,3.2
eSTREAM 4K,EVOPRO,SEI500EV,2086MB,TV,Amlogic AMLS905X2,2 核 ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
eSTREAM 4K,Pyxis-Midco,SEI500MC,2086MB,TV,Amlogic AMLS905X2,2 核 ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,28,3.2
eSTREAM 4K,Pyxis-MetroNet,SEI500MN,2086MB,TV,Amlogic AMLS905X2,2 核 ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,28,3.2
eSTREAM 4K,Pyxis-RCN,SEI500RCN,2086MB,TV,Amlogic AMLS905X2,2 核 ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,28,3.2
eSTREAM 4K,Pyxis-SECV,SEI500SECV,2086MB,TV,Amlogic AMLS905X2,2 核 ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,28,3.2
eSTREAM 4K,SEI500TV,SEI500TV,2086MB,TV,Amlogic AMLS905X2,2 核 ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,28,3.2
eSTREAM 4K,IPA-1104HDH-01,eSTREAM4K_4x4,1811MB,TV,Broadcom BCM7271,未知,1080x1920,320,armeabi;armeabi-v7a,28,3.1
eTalk,KAZ-N20,KAZ-N20,1976MB,Phone,Qualcomm QM215,Qualcomm Adreno 306 (465 MHz),720x1280,320,armeabi;armeabi-v7a,29,3.0
ecom,Ex-Handy 10,Ex-Handy10,1998MB,Phone,Qualcomm MSM8909,Qualcomm Adreno 304 (400 MHz),320x432,160,armeabi;armeabi-v7a,28,3.0
ecom,Smart-Ex02,Smart-Ex02,2981MB,Phone,Qualcomm SDM450,Qualcomm Adreno 506 (600 MHz),720x1280,320,arm64-v8a;armeabi;armeabi-v7a,30,3.2
efioo,efiootabn7a,efiootabn7a,2961MB,Phone,Spreadtrum SC9863A,Imagination Tech PowerVR GE8322 (550 MHz),600x1024,213,arm64-v8a;armeabi;armeabi-v7a,28,3.2
elevn,elevn_eTab,elevn_eTab,3961MB,Tablet,Spreadtrum SC9863A,Imagination Tech PowerVR GE8322 (550 MHz),1200x1920,280,arm64-v8a;armeabi;armeabi-v7a,29,3.2
g-mee,connect_2,connect_2,1996MB,Phone,Spreadtrum SC9832E,ARM Mali T820 (680 MHz),480x854,240,armeabi;armeabi-v7a,30,3.2
geaneePro,JT70-X,JT07-X,989MB,Tablet,Mediatek MT8168B,ARM Mali G52 (800 MHz),600x1024,160,armeabi;armeabi-v7a,29,3.2
geaneePro,JT08-X1,JT08-X1,2047MB,Tablet,Mediatek MT8168A,ARM Mali G52 (800 MHz),800x1280,160,armeabi;armeabi-v7a,30,3.2
geaneePro,JT10-X,JT10-X,2048MB,Tablet,Mediatek MT8168B,ARM Mali G52 (800 MHz),800x1280,160,armeabi;armeabi-v7a,29,3.2
geaneePro,JT10-X1,JT10-X1,4050MB,Tablet,Mediatek MT8168A,ARM Mali G52 (800 MHz),1200x1920,240,arm64-v8a;armeabi;armeabi-v7a,30,3.2
geaneePro,JT10LTE-X1,JT10LTE-X1,3038MB,Tablet,Mediatek MT8765B,Imagination Tech PowerVR GE8100 (420 MHz),800x1280,160,arm64-v8a;armeabi;armeabi-v7a,30,3.2
halotel,H8502,H8502,1998MB,Phone,Mediatek MT6739WA,Imagination Tech PowerVR GE8100 (450 MHz),480x960,240,armeabi;armeabi-v7a,28,3.2
i-Buddie,TA10CA3,TA10CA3,1012MB,Tablet,Intel Z2520,Imagination Tech PowerVR SGX544 (300 MHz),800x1280,160,armeabi;armeabi-v7a;x86,17,2.0
i-Buddie,TA71CA1,TA71CA1,1012MB,Tablet,Intel Z2520,Imagination Tech PowerVR SGX544 (300 MHz),600x1024,160,armeabi;armeabi-v7a;x86,17,2.0
i-Buddie,TG08RK,TG08RK,2048MB,Phone,Rockchip RK3368,Imagination Tech PowerVR G6110 (600 MHz),800x1280,240,arm64-v8a;armeabi;armeabi-v7a,28,3.1
i-Buddie,TG08RK1,TG08RK1,2051MB,Tablet,Rockchip RK3368,Imagination Tech PowerVR G6110 (600 MHz),800x1280,213,armeabi;armeabi-v7a,29,3.1
i-Buddie,TU10MK1_1,TU10MK1_1,2065MB,Tablet,Mediatek MT8163,ARM Mali T720 (520 MHz),800x1280,160,arm64-v8a;armeabi;armeabi-v7a,28,3.1
i-Buddie,TU11MK1_1,TU11MK1_1,3077MB,Tablet,Mediatek MT8168B,ARM Mali G52 (800 MHz),800x1280,160,arm64-v8a;armeabi;armeabi-v7a,29,3.2
i-Buddie,TU11MK1_2,TU11MK1_2,3074MB,Tablet,Mediatek MT8168B,ARM Mali G52 (800 MHz),800x1280,160,arm64-v8a;armeabi;armeabi-v7a,30,3.2
i-Mobile,A956,A956,904MB,Phone,Mediatek MT6737,ARM Mali T720 (550 MHz),720x1280,320,armeabi;armeabi-v7a,24,3.1
i-Mobile,Y1,Y1,959MB,Phone,Spreadtrum SC9832,ARM Mali 400 (614 MHz),720x1280,320,armeabi;armeabi-v7a,23,2.0
i-Mobile,i-STYLE 713,i-STYLE_713,994MB,Phone,Mediatek MT6580,ARM Mali 400 (500 MHz),480x854,240,armeabi;armeabi-v7a,24,2.0
i-Mobile,IQ II,imobileiq2_sprout,933MB,Phone,Qualcomm MSM8916,Qualcomm Adreno 306 (400 MHz),720x1280,320,armeabi;armeabi-v7a,25,3.0
i5 (dza),V10,V10,2008MB,Phone,Mediatek MT6737,ARM Mali T720 (550 MHz),480x1014,213,armeabi;armeabi-v7a,29,3.1
iBRIT,Alpha,AF51,1006MB,Phone,Mediatek MT6580,ARM Mali 400 (500 MHz),480x854,240,armeabi;armeabi-v7a,24,2.0
iBRIT,Alpha_Plus,Alpha_Plus,1005MB,Phone,Mediatek MT6580M,未知,480x854,240,armeabi;armeabi-v7a,27,2.0
iBRIT,K2,K2,1029MB,Tablet,Rockchip RK3126C,ARM Mali 400 (480 MHz),600x1024,160,armeabi;armeabi-v7a,27,2.0
iBRIT,M4,M4,880MB,Phone,Mediatek MT6739WA,Imagination Tech PowerVR GE8100 (450 MHz),480x800,240,armeabi;armeabi-v7a,27,3.2
iBRIT,MAX10,MAX10,948MB,Tablet,Spreadtrum SC7731E,ARM Mali T820 (600 MHz),800x1280,213,armeabi;armeabi-v7a,27,3.2
